体育频道,#genre#
广东体育,https://epg.pw/stream/d26840de961946e7425e433195853c3e8fc5797fbaf2944b4d1a9ddaa1df0d22.ctv
緯來體育(nba),rtmp://9sv2.mine.nu:1935/sat/tv721
緯來體育2(nba),https://epg.pw/stream/65161be2ecd7c7b2e054dbac30922b2673b4eff6497b77c71bb81215aa826cc4.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
CCTV5-高清(1),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清(2),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5-3,https://epg.pw/stream/e5c01ab55252de6883317ab4a24c6827f47ae5fa0d87cbd47f9e1c3b5de6280b.m3u8
CCTV5+,https://epg.pw/stream/086db2bb0313ea69b64e6c5241778b8b5933b629e4bd09ecab5e744b122ed865.m3u8
CCTV5+2,https://epg.pw/stream/8e87dfe99f2a476ed0f64027d3fe221c0aa002845001d44e3e273df669c0bd9c.m3u8
艾尔达体育,rtmp://9sv2.mine.nu:1935/sat/md051
咪咕体育4k,https://epg.pw/stream/e5aa046c755a095bc28796061e12582bcedc19cf1102716515ea0707ef4fb05d.ctv
无线财经体育资讯台,http://live.cooltv.top/tv/tvb.php?id=2&hq
ELEVEN體育2台,http://61.221.81.93:8078/hls/26/80/esport2.m3u8

cctv,#genre#
cctv4,https://cfyy.cc/ds/ysp/qp.php?id=cctv4k
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

4k,#genre#
百视通4K儿童,http://php.jdshipin.com:8880/iptv.php?id=bst4ket
百视通4K电影,http://php.jdshipin.com:8880/iptv.php?id=bst4kdy
百视通4K纪实,http://php.jdshipin.com:8880/iptv.php?id=bst4kjs

电视,#genre#
CCTV-1,https://live.metshop.top/hbgd.php?id=cctv1hd_3000
CCTV-2,https://live.metshop.top/hbgd.php?id=cctv2hd_3000
CCTV-3,https://live.metshop.top/hbgd.php?id=cctv3hd_3000
CCTV-4,https://live.metshop.top/hbgd.php?id=cctv4_1000
CCTV-5,https://live.metshop.top/hbgd.php?id=cctv5hd_3000
CCTV-5+,https://live.metshop.top/hbgd.php?id=cctv5jhd_3000
CCTV-6,https://live.metshop.top/hbgd.php?id=cctv6hd_3000
CCTV-7,https://live.metshop.top/hbgd.php?id=cctv7hd_3000
CCTV-8,https://live.metshop.top/hbgd.php?id=cctv8hd_3000
CCTV-9,https://live.metshop.top/hbgd.php?id=cctv9hd_3000
CCTV-10,https://live.metshop.top/hbgd.php?id=cctv10hd_3000
CCTV-11,https://live.metshop.top/hbgd.php?id=cctv11_1000
CCTV-12,https://live.metshop.top/hbgd.php?id=cctv12hd_3000
CCTV-13,https://live.metshop.top/hbgd.php?id=cctv13_1000
CCTV-14,https://live.metshop.top/hbgd.php?id=cctv17hd_3000
CCTV-15,https://live.metshop.top/hbgd.php?id=cctv14_1000
CCTV-16,https://live.metshop.top/hbgd.php?id=cctv16hd_3000
CCTV-17,https://live.metshop.top/hbgd.php?id=cctv14hd_3000
CGTN,https://live.metshop.top/hbgd.php?id=cctvnews_1000
北京卫视,https://live.metshop.top/hbgd.php?id=bjwshd_3000
东方卫视,https://live.metshop.top/hbgd.php?id=dfwshd_3000
浙江卫视,https://live.metshop.top/hbgd.php?id=zjwshd_3000
江苏卫视,https://live.metshop.top/hbgd.php?id=jswshd_3000
湖南卫视,https://live.metshop.top/hbgd.php?id=hnwshd_3000
深圳卫视,https://live.metshop.top/hbgd.php?id=szwshd_3000
天津卫视,https://live.metshop.top/hbgd.php?id=tjwshd_3000
广东卫视,https://live.metshop.top/hbgd.php?id=gdwshd_3000
黑龙江卫视,https://live.metshop.top/hbgd.php?id=hljwshd_3000
安徽卫视,https://live.metshop.top/hbgd.php?id=ahwshd_3000
辽宁卫视,https://live.metshop.top/hbgd.php?id=lnwshd_3000
四川卫视,https://live.metshop.top/hbgd.php?id=scwshd_3000
重庆卫视,https://live.metshop.top/hbgd.php?id=cqwshd_3000
贵州卫视,https://live.metshop.top/hbgd.php?id=gzwshd_3000
江西卫视,https://live.metshop.top/hbgd.php?id=jxwshd_3000
东南卫视,https://live.metshop.top/hbgd.php?id=dnwshd_3000
湖北卫视,https://live.metshop.top/hbgd.php?id=hbwshd_3000
河南卫视,https://live.metshop.top/hbgd.php?id=henwshd_3000
山东卫视,https://live.metshop.top/hbgd.php?id=sdwdhd_3000
海南卫视,https://live.metshop.top/hbgd.php?id=hainwshd_3000
广西卫视,https://live.metshop.top/hbgd.php?id=gxwshd_3000
吉林卫视,https://live.metshop.top/hbgd.php?id=jlwshd_3000
陕西卫视,https://live.metshop.top/hbgd.php?id=shxws_1000
内蒙古卫视,https://live.metshop.top/hbgd.php?id=nmws_1000
西藏卫视,https://live.metshop.top/hbgd.php?id=xzws_1000
河北卫视,https://live.metshop.top/hbgd.php?id=hebws_1000
青海卫视,https://live.metshop.top/hbgd.php?id=qhws_1000
宁夏卫视,https://live.metshop.top/hbgd.php?id=nxws_1000
云南卫视,https://live.metshop.top/hbgd.php?id=ynws_1000
山西卫视,https://live.metshop.top/hbgd.php?id=sxws_1000
甘肃卫视,https://live.metshop.top/hbgd.php?id=gsws_1000
新疆卫视,https://live.metshop.top/hbgd.php?id=xjws_1000
兵团卫视,https://live.metshop.top/hbgd.php?id=btws_1000
金鹰卡通,https://live.metshop.top/hbgd.php?id=jjkt_1000
纪实人文,https://live.metshop.top/hbgd.php?id=shjs_1000
中国教育-1,https://live.metshop.top/hbgd.php?id=zgjy1hd_3000
中国教育-4,https://live.metshop.top/hbgd.php?id=zgjy4_1000
卡酷少儿,https://live.metshop.top/hbgd.php?id=kkse_1000
金鹰纪实,https://live.metshop.top/hbgd.php?id=jyjs_1000
家庭理财,https://live.metshop.top/hbgd.php?id=jtlc_1000
嘉佳卡通,https://live.metshop.top/hbgd.php?id=jiajkt_1000
北京纪实科教,https://live.metshop.top/hbgd.php?id=dajs_1000
山东教育卫视,https://live.metshop.top/hbgd.php?id=sdjyws_1000
中国气象,https://live.metshop.top/hbgd.php?id=zgqx_1000
湖北综合,https://live.metshop.top/hbgd.php?id=hbzhhd_3000
湖北经视,https://live.metshop.top/hbgd.php?id=hbjsjd_3000
湖北垄上,https://live.metshop.top/hbgd.php?id=hblshd_3000
湖北公共·新闻,https://live.metshop.top/hbgd.php?id=hbgghd_3000
湖北影视,https://live.metshop.top/hbgd.php?id=hbys_1000
湖北教育,https://live.metshop.top/hbgd.php?id=hbjy_1000
湖北生活,https://live.metshop.top/hbgd.php?id=hbsh_1000

斗鱼,#genre#
【RM-点播】点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
【RM-轮播】轮播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/7298973
计划！五一节の快乐,http://epg.112114.xyz/douyu/7528160
美味！蟹黄堡,http://epg.112114.xyz/douyu/8762358
海绵与大星直播间,http://epg.112114.xyz/douyu/2250349
【三笠】根本不存在解不开的迷！,http://epg.112114.xyz/douyu/7050342
宝可梦加油。感谢大家。,http://epg.112114.xyz/douyu/9765742
星矢-燃烧吧我的小宇宙,http://epg.112114.xyz/douyu/8458270
松开的手0.0,http://epg.112114.xyz/douyu/10210568
浦饭幽游藏马飞影桑原,http://epg.112114.xyz/douyu/9938431
妖精的直播间,http://epg.112114.xyz/douyu/5960746
【动画电影】童年回忆,http://epg.112114.xyz/douyu/10395973
【星星动画】童年热血搞笑爱情,http://epg.112114.xyz/douyu/4369939
【追忆】国语超清动画电影,http://epg.112114.xyz/douyu/6449849
【动漫】24小时不间断动漫专场,http://epg.112114.xyz/douyu/7493575
老爹:还有一件事,http://epg.112114.xyz/douyu/7134757
